,SK_ID_CURR,TARGET 1 PROBABILITY
0,149741,0.67828995
1,363290,0.116791755
2,436006,0.11057871
3,377703,0.107925415
4,188624,0.50943744
5,454397,0.085733816
6,358007,0.04556741
7,140209,0.33775592
8,234837,0.041100465
9,269983,0.15236917
10,435574,0.06330602
11,299809,0.18034187
12,386485,0.034944735
13,269948,0.13075197
14,280976,0.18337646
15,238068,0.046927847
16,304049,0.131355
17,414990,0.05146905
18,217203,0.14951348
19,376182,0.0028346423
20,105944,0.23047617
21,141357,0.06450034
22,309630,0.1051861
23,242368,0.05885004
24,442101,0.3107853
25,398068,0.07375119
26,200440,0.21223691
27,130746,0.12602447
28,391997,0.021653822
29,290025,0.09031601
30,343846,0.0371903
31,126485,0.11458908
32,104163,0.21487892
33,362585,0.20980355
34,208568,0.08614209
35,223220,0.11738476
36,115449,0.018195838
37,157918,0.082337186
38,235847,0.3002287
39,424643,0.24927428
40,260115,0.027918188
41,101029,0.080978766
42,209683,0.2149092
43,332916,0.11233979
44,170649,0.09375564
45,148754,0.263924
46,322016,0.104505055
47,410057,0.009518412
48,400391,0.2588828
49,303311,0.053595733
50,306375,0.29710576
51,349106,0.0737425
52,276461,0.02702272
53,410126,0.022007743
54,150037,0.4705248
55,454632,0.26822808
56,174402,0.3042482
57,261588,0.18196478
58,348830,0.023602206
59,340159,0.10995781
60,389531,0.1283921
61,162563,0.103564814
62,334705,0.009381882
63,304569,0.048210476
64,310542,0.24783324
65,308062,0.17660102
66,261605,0.020267129
67,322239,0.15483803
68,117154,0.03175606
69,364023,0.38287935
70,348864,0.039109487
71,345535,0.14750902
72,228272,0.36272198
73,418424,0.4935042
74,383965,0.10952506
75,145408,0.16339189
76,427237,0.0883349
77,264554,0.18311734
78,174096,0.045798857
79,354555,0.09022429
80,410575,0.37748027
81,186995,0.116435245
82,283181,0.16238281
83,434215,0.5596635
84,337331,0.22082299
85,424061,0.048347015
86,232858,0.008945806
87,176976,0.17842375
88,289643,0.61346394
89,261786,0.021233171
90,160826,0.06273151
91,148685,0.09336331
92,184353,0.024015406
93,129079,0.042620186
94,169069,0.44633105
95,196926,0.17457503
96,221111,0.31874546
97,167852,0.013047111
98,297652,0.118486136
99,181938,0.04914828
100,293370,0.23123851
101,421379,0.016116109
102,332561,0.03277778
103,340723,0.022134488
104,229097,0.030417869
105,175449,0.14597087
106,193445,0.33788913
107,330554,0.33136296
108,302817,0.49010834
109,424238,0.2094308
110,175232,0.18788025
111,390273,0.02453496
112,187554,0.13535549
113,283526,0.071566164
114,422721,0.33949354
115,416240,0.25372443
116,259330,0.016845081
117,434371,0.1560234
118,382582,0.25362062
119,197878,0.018313378
120,189555,0.22289823
121,273167,0.17381911
122,241255,0.052118156
123,168675,0.05914566
124,260249,0.032686345
125,181438,0.083521366
126,247375,0.21397266
127,426054,0.062574215
128,264562,0.103694305
129,133340,0.56659997
130,325719,0.16568641
131,447395,0.13074687
132,452598,0.023114875
133,311400,0.1498604
134,341080,0.21460265
135,373081,0.2596411
136,404162,0.246263
137,242418,0.1527746
138,237969,0.08536442
139,360771,0.20913833
140,231795,0.23362008
141,146290,0.033878244
142,421260,0.1103081
143,315059,0.06721917
144,282509,0.09340309
145,182155,0.4129468
146,107722,0.06039408
147,396388,0.2712196
148,330258,0.2999562
149,341315,0.7295319
150,320906,0.092736274
151,212236,0.046142958
152,235119,0.017312171
153,292404,0.31019443
154,229696,0.1993359
155,258282,0.011834415
156,215108,0.011585971
157,274567,0.09602915
158,432205,0.2108319
159,353839,0.03558535
160,327514,0.23589826
161,285013,0.021406265
